"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","impdiff","impenv","impfree","impfun","imprich","impsafe","imptrad","ipadvnt","ipbhprp","ipcrtiv","ipeqopt","ipfrule","ipgdtim","iphlppl","iplylfr","ipmodst","iprspot","ipshabt","ipstrgv","ipsuces","ipudrst"
"ESS1e06_6",1,"6.6","01.12.2018",100,"AT",0.7972,0.87615806,0.2714875,,,,,4,3,2,4,6,3,2,5,1,2,4,3,3,3,1,3,3,3,1,2,4
"ESS1e06_6",1,"6.6","01.12.2018",101,"AT",0.3986,0.3285926,0.2714875,,,,,3,1,1,4,4,3,2,3,1,1,1,4,3,1,1,2,3,4,2,3,2
"ESS1e06_6",1,"6.6","01.12.2018",102,"AT",0.7972,1.165743,0.2714875,,,,,5,2,1,2,5,1,5,5,4,3,4,6,3,5,4,2,2,1,1,2,6
"ESS1e06_6",1,"6.6","01.12.2018",103,"AT",0.3986,0.43807903,0.2714875,,,,,4,2,2,5,5,4,2,4,2,2,2,5,4,2,2,2,4,5,2,4,2
"ESS1e06_6",1,"6.6","01.12.2018",104,"AT",1.5943,1.1610167,0.2714875,,,,,5,1,1,1,2,1,2,5,1,2,1,6,2,3,1,1,1,4,3,3,2
"ESS1e06_6",1,"6.6","01.12.2018",106,"AT",1.5943,1.314288,0.2714875,,,,,2,3,2,1,2,3,2,3,3,1,4,2,1,2,2,2,2,2,2,2,4
"ESS1e06_6",1,"6.6","01.12.2018",108,"AT",0.7972,0.58054477,0.2714875,,,,,1,3,1,1,2,1,1,4,2,3,4,1,1,2,2,4,1,1,1,1,3
"ESS1e06_6",1,"6.6","01.12.2018",110,"AT",1.0073,1.48362,0.2714875,,,,,5,1,1,4,5,1,1,5,1,5,1,1,1,1,2,1,5,5,1,5,1
"ESS1e06_6",1,"6.6","01.12.2018",112,"AT",1.3431,1.4761263,0.2714875,,,,,2,3,2,4,4,4,4,3,2,2,2,3,3,3,2,3,3,3,3,3,2
"ESS1e06_6",1,"6.6","01.12.2018",114,"AT",1.0073,1.0027524,0.2714875,,,,,4,2,2,2,4,2,2,3,3,1,2,3,2,3,1,3,3,1,2,2,1
"ESS1e06_6",1,"6.6","01.12.2018",115,"AT",0.6716,0.7381181,0.2714875,,,,,6,1,1,6,2,1,1,6,1,2,1,1,6,3,1,6,1,1,1,1,1
"ESS1e06_6",1,"6.6","01.12.2018",117,"AT",0.3358,0.49458912,0.2714875,,,,,4,1,3,3,4,1,1,4,2,4,4,2,3,3,1,2,5,4,2,3,3
"ESS1e06_6",1,"6.6","01.12.2018",118,"AT",1.3431,1.246995,0.2714875,,,,,2,4,3,4,3,2,4,3,2,3,3,3,3,3,1,3,1,2,3,3,3
"ESS1e06_6",1,"6.6","01.12.2018",122,"AT",1.0042,0.7312883,0.2714875,,,,,4,4,3,4,4,5,6,6,5,4,3,4,4,5,4,6,5,3,6,4,5
"ESS1e06_6",1,"6.6","01.12.2018",124,"AT",1.0042,1.4684385,0.2714875,,,,,2,2,2,2,1,4,2,2,2,1,5,2,5,2,2,3,3,2,2,1,5
"ESS1e06_6",1,"6.6","01.12.2018",126,"AT",1.2553,0.9546829,0.2714875,,,,,3,2,3,2,5,2,3,3,5,2,2,6,2,3,3,2,3,4,3,2,4
"ESS1e06_6",1,"6.6","01.12.2018",128,"AT",1.0042,0.99966645,0.2714875,,,,,2,2,2,2,3,2,3,3,3,2,2,2,2,2,1,4,3,2,4,2,2
"ESS1e06_6",1,"6.6","01.12.2018",129,"AT",1.2553,1.2496328,0.2714875,,,,,3,2,1,4,5,1,2,5,1,1,2,5,3,2,1,2,2,1,2,2,2
"ESS1e06_6",1,"6.6","01.12.2018",130,"AT",0.5021,0.52644694,0.2714875,,,,,4,3,3,4,5,3,3,5,3,3,1,3,3,3,3,4,4,5,3,4,1
"ESS1e06_6",1,"6.6","01.12.2018",132,"AT",0.7532,0.57282495,0.2714875,,,,,1,1,1,2,6,5,5,4,1,1,1,5,2,2,1,5,4,6,4,5,2
"ESS1e06_6",1,"6.6","01.12.2018",133,"AT",0.4734,0.34823754,0.2714875,,,,,3,3,3,2,3,3,3,4,3,3,4,4,2,3,3,3,3,3,2,3,4
"ESS1e06_6",1,"6.6","01.12.2018",134,"AT",0.4734,0.5734575,0.2714875,,,,,3,2,2,3,4,3,3,4,3,2,2,4,2,3,2,1,4,4,3,4,2
"ESS1e06_6",1,"6.6","01.12.2018",135,"AT",0.4734,0.34823754,0.2714875,,,,,4,4,4,2,4,4,4,5,4,4,5,5,2,4,4,4,4,4,2,4,5
"ESS1e06_6",1,"6.6","01.12.2018",136,"AT",0.4734,0.7392094,0.2714875,,,,,2,3,2,3,4,2,4,4,3,1,1,4,2,3,2,2,4,3,3,3,3
"ESS1e06_6",1,"6.6","01.12.2018",137,"AT",0.4734,0.7392094,0.2714875,,,,,2,4,1,3,4,1,3,3,2,2,3,4,2,3,3,2,4,2,3,3,3
"ESS1e06_6",1,"6.6","01.12.2018",138,"AT",0.4734,0.4251286,0.2714875,,,,,2,4,3,3,4,3,2,4,2,3,3,4,4,3,2,2,2,2,3,2,2
"ESS1e06_6",1,"6.6","01.12.2018",140,"AT",0.4734,0.4558258,0.2714875,,,,,2,4,2,1,4,3,2,4,1,2,4,3,2,4,1,4,3,3,3,4,4
"ESS1e06_6",1,"6.6","01.12.2018",145,"AT",0.9469,1.0065956,0.2714875,,,,,4,2,2,3,4,2,2,3,2,2,2,4,2,2,2,2,4,3,2,3,4
"ESS1e06_6",1,"6.6","01.12.2018",146,"AT",1.8938,1.8234957,0.2714875,,,,,2,2,2,5,4,2,3,3,2,2,1,3,5,2,2,2,3,4,2,4,2
"ESS1e06_6",1,"6.6","01.12.2018",147,"AT",0.4734,0.4558258,0.2714875,,,,,3,2,3,4,4,2,4,4,3,2,2,4,3,3,2,4,4,4,3,3,3
"ESS1e06_6",1,"6.6","01.12.2018",148,"AT",0.4734,0.4251286,0.2714875,,,,,3,2,2,4,6,2,3,4,3,3,3,4,2,3,2,3,5,5,2,3,3
"ESS1e06_6",1,"6.6","01.12.2018",152,"AT",0.9469,1.1470361,0.2714875,,,,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1
"ESS1e06_6",1,"6.6","01.12.2018",154,"AT",0.4734,0.4251286,0.2714875,,,,,6,4,1,3,5,5,6,5,1,2,1,4,3,1,1,1,1,2,1,1,1
"ESS1e06_6",1,"6.6","01.12.2018",156,"AT",0.4734,0.56725407,0.2714875,,,,,4,2,2,4,6,2,6,4,3,3,2,4,4,3,1,2,4,4,2,3,2
"ESS1e06_6",1,"6.6","01.12.2018",158,"AT",0.4734,0.37747177,0.2714875,,,,,6,4,3,3,6,1,6,6,1,6,1,1,5,1,2,1,4,5,1,3,1
"ESS1e06_6",1,"6.6","01.12.2018",159,"AT",0.9469,0.85034704,0.2714875,,,,,4,2,3,5,4,3,4,4,3,3,2,5,2,2,2,4,3,2,4,2,3
"ESS1e06_6",1,"6.6","01.12.2018",160,"AT",0.9469,1.3489745,0.2714875,,,,,3,2,3,2,4,4,2,6,2,4,3,3,4,1,1,1,5,2,5,2,1
"ESS1e06_6",1,"6.6","01.12.2018",161,"AT",0.9469,0.66697305,0.2714875,,,,,2,2,3,3,2,3,2,3,4,3,4,3,2,2,3,2,2,4,4,3,3
"ESS1e06_6",1,"6.6","01.12.2018",162,"AT",0.4734,0.37747177,0.2714875,,,,,1,6,2,6,6,6,6,6,1,6,3,2,5,6,6,5,6,6,2,6,6
"ESS1e06_6",1,"6.6","01.12.2018",163,"AT",0.9469,0.4433037,0.2714875,,,,,2,2,2,4,4,3,3,4,3,2,2,3,2,2,2,4,2,3,4,2,2
"ESS1e06_6",1,"6.6","01.12.2018",164,"AT",0.9469,1.1346279,0.2714875,,,,,2,5,2,1,3,3,6,3,5,4,2,3,2,3,3,3,4,4,3,5,2
"ESS1e06_6",1,"6.6","01.12.2018",166,"AT",0.9469,0.9117479,0.2714875,,,,,5,2,3,3,4,1,5,6,2,6,2,2,5,4,3,5,3,2,1,2,3
"ESS1e06_6",1,"6.6","01.12.2018",168,"AT",0.4734,0.674416,0.2714875,,,,,5,1,4,4,6,1,1,6,1,6,3,2,6,2,1,4,2,3,4,5,1
"ESS1e06_6",1,"6.6","01.12.2018",170,"AT",0.9469,1.0065956,0.2714875,,,,,1,1,1,2,4,3,3,2,3,1,4,4,1,3,2,4,1,1,4,2,2
"ESS1e06_6",1,"6.6","01.12.2018",172,"AT",0.9469,0.85034704,0.2714875,,,,,4,2,1,3,2,3,4,3,2,3,1,5,2,3,2,2,2,2,3,2,1
"ESS1e06_6",1,"6.6","01.12.2018",173,"AT",0.9469,1.1346279,0.2714875,,,,,2,2,2,2,4,1,2,4,2,2,2,2,2,2,2,2,2,2,1,2,2
"ESS1e06_6",1,"6.6","01.12.2018",174,"AT",0.4734,0.6455956,0.2714875,,,,,4,2,2,5,5,2,2,5,2,2,2,3,2,2,2,2,5,5,2,5,2
